dropout experiment with dropout=0.5
-Iter 0, Training Loss= 4.794883, Accuracy Top1 = 0.0000, Top5 = 0.0625
-Iter 1200, Validation Loss= 5.214717, Accuracy Top1 = 0.0781, Top5 = 0.1875
-Iter 1250, Training Loss= 4.663998, Accuracy Top1 = 0.1406, Top5 = 0.3438
-Iter 1250, Validation Loss= 4.167339, Accuracy Top1 = 0.0625, Top5 = 0.2969
-Iter 1300, Training Loss= 3.573095, Accuracy Top1 = 0.1406, Top5 = 0.3594
-Iter 1300, Validation Loss= 4.599854, Accuracy Top1 = 0.1562, Top5 = 0.4688
-Iter 1350, Training Loss= 3.783766, Accuracy Top1 = 0.1562, Top5 = 0.3750
-Iter 1350, Validation Loss= 3.314227, Accuracy Top1 = 0.2500, Top5 = 0.5156
-Iter 1400, Training Loss= 4.173509, Accuracy Top1 = 0.1406, Top5 = 0.3750
-Iter 1400, Validation Loss= 4.154779, Accuracy Top1 = 0.1406, Top5 = 0.3906
-Iter 1450, Training Loss= 3.101306, Accuracy Top1 = 0.2344, Top5 = 0.5000
-Iter 1450, Validation Loss= 3.589503, Accuracy Top1 = 0.1562, Top5 = 0.3594
-Iter 1500, Training Loss= 3.475578, Accuracy Top1 = 0.1406, Top5 = 0.3750
-Iter 1500, Validation Loss= 4.648143, Accuracy Top1 = 0.1406, Top5 = 0.3750
-Iter 1550, Training Loss= 3.435945, Accuracy Top1 = 0.1875, Top5 = 0.5156
-Iter 1550, Validation Loss= 3.466079, Accuracy Top1 = 0.1406, Top5 = 0.4219
-Iter 1600, Training Loss= 3.698964, Accuracy Top1 = 0.1406, Top5 = 0.3594
-Iter 1600, Validation Loss= 3.662507, Accuracy Top1 = 0.1406, Top5 = 0.3594
-Iter 1650, Training Loss= 3.476998, Accuracy Top1 = 0.1719, Top5 = 0.3594
-Iter 1650, Validation Loss= 3.237730, Accuracy Top1 = 0.1719, Top5 = 0.4688
-Iter 1700, Training Loss= 3.106415, Accuracy Top1 = 0.2344, Top5 = 0.5625
-Iter 1700, Validation Loss= 3.130007, Accuracy Top1 = 0.2188, Top5 = 0.5625
-Iter 1750, Training Loss= 3.637201, Accuracy Top1 = 0.1094, Top5 = 0.4531
-Iter 1750, Validation Loss= 3.510282, Accuracy Top1 = 0.2031, Top5 = 0.4062
-Iter 1800, Training Loss= 4.486685, Accuracy Top1 = 0.1719, Top5 = 0.4062
-Iter 1800, Validation Loss= 3.626096, Accuracy Top1 = 0.2031, Top5 = 0.4375
-Iter 1850, Training Loss= 3.552315, Accuracy Top1 = 0.1250, Top5 = 0.4531
-Iter 1850, Validation Loss= 3.519877, Accuracy Top1 = 0.1250, Top5 = 0.4688
-Iter 1900, Training Loss= 3.716608, Accuracy Top1 = 0.1094, Top5 = 0.4062
-Iter 1900, Validation Loss= 3.267500, Accuracy Top1 = 0.1719, Top5 = 0.4531
-Iter 1950, Training Loss= 3.548206, Accuracy Top1 = 0.1250, Top5 = 0.3906
-Iter 1950, Validation Loss= 3.881648, Accuracy Top1 = 0.2031, Top5 = 0.3906
-Iter 2000, Training Loss= 3.432438, Accuracy Top1 = 0.2500, Top5 = 0.5625
-Iter 2000, Validation Loss= 3.174482, Accuracy Top1 = 0.1875, Top5 = 0.5312
-Iter 2050, Training Loss= 3.709572, Accuracy Top1 = 0.1875, Top5 = 0.5000
-Iter 2050, Validation Loss= 3.394805, Accuracy Top1 = 0.2500, Top5 = 0.5625
-Iter 2100, Training Loss= 3.267739, Accuracy Top1 = 0.1562, Top5 = 0.4844
-Iter 2100, Validation Loss= 4.308127, Accuracy Top1 = 0.2656, Top5 = 0.4219
-Iter 2150, Training Loss= 3.375718, Accuracy Top1 = 0.1875, Top5 = 0.4844
-Iter 2150, Validation Loss= 3.904345, Accuracy Top1 = 0.1094, Top5 = 0.3750
-Iter 2200, Training Loss= 3.446913, Accuracy Top1 = 0.1719, Top5 = 0.4062
-Iter 2200, Validation Loss= 3.470488, Accuracy Top1 = 0.1406, Top5 = 0.4844
-Iter 2250, Training Loss= 3.463500, Accuracy Top1 = 0.1094, Top5 = 0.4531
-Iter 2250, Validation Loss= 3.434925, Accuracy Top1 = 0.2188, Top5 = 0.4219
-Iter 2300, Training Loss= 3.266139, Accuracy Top1 = 0.2344, Top5 = 0.4531
-Iter 2300, Validation Loss= 3.277359, Accuracy Top1 = 0.2656, Top5 = 0.4531
-Iter 2350, Training Loss= 3.000396, Accuracy Top1 = 0.2500, Top5 = 0.5469
-Iter 2350, Validation Loss= 3.272636, Accuracy Top1 = 0.2031, Top5 = 0.4531
-Iter 2400, Training Loss= 4.473889, Accuracy Top1 = 0.2188, Top5 = 0.4375
-Iter 2400, Validation Loss= 3.664228, Accuracy Top1 = 0.1719, Top5 = 0.4688
-Iter 2450, Training Loss= 3.048681, Accuracy Top1 = 0.2656, Top5 = 0.5312
-Iter 2450, Validation Loss= 3.134250, Accuracy Top1 = 0.1875, Top5 = 0.5156
-Iter 2500, Training Loss= 3.264661, Accuracy Top1 = 0.1719, Top5 = 0.4531
-Iter 2500, Validation Loss= 3.579283, Accuracy Top1 = 0.1719, Top5 = 0.3594
-Iter 2550, Training Loss= 2.936377, Accuracy Top1 = 0.2656, Top5 = 0.5469
-Iter 2550, Validation Loss= 3.414533, Accuracy Top1 = 0.2344, Top5 = 0.5000
-Iter 2600, Training Loss= 3.243653, Accuracy Top1 = 0.2188, Top5 = 0.4688
-Iter 2600, Validation Loss= 3.399311, Accuracy Top1 = 0.2188, Top5 = 0.4531
-Iter 2650, Training Loss= 2.981387, Accuracy Top1 = 0.2188, Top5 = 0.5625
-Iter 2650, Validation Loss= 3.353097, Accuracy Top1 = 0.2188, Top5 = 0.4375
-Iter 2700, Training Loss= 3.135862, Accuracy Top1 = 0.2031, Top5 = 0.4844
-Iter 2700, Validation Loss= 3.114538, Accuracy Top1 = 0.1875, Top5 = 0.5000
-Iter 2750, Training Loss= 3.263237, Accuracy Top1 = 0.1875, Top5 = 0.4531
-Iter 2750, Validation Loss= 3.348929, Accuracy Top1 = 0.1562, Top5 = 0.4219
-Iter 2800, Training Loss= 2.960482, Accuracy Top1 = 0.2969, Top5 = 0.5938
-Iter 2800, Validation Loss= 3.308388, Accuracy Top1 = 0.2500, Top5 = 0.4531
-Iter 2850, Training Loss= 3.108144, Accuracy Top1 = 0.2656, Top5 = 0.5312
-Iter 2850, Validation Loss= 3.338756, Accuracy Top1 = 0.1875, Top5 = 0.4375
-Iter 2900, Training Loss= 2.998032, Accuracy Top1 = 0.2812, Top5 = 0.5781
-Iter 2900, Validation Loss= 2.669134, Accuracy Top1 = 0.2969, Top5 = 0.5938
-Iter 2950, Training Loss= 2.830342, Accuracy Top1 = 0.3750, Top5 = 0.5781
-Iter 2950, Validation Loss= 3.057906, Accuracy Top1 = 0.2188, Top5 = 0.5469
-Iter 3000, Training Loss= 3.013014, Accuracy Top1 = 0.2188, Top5 = 0.4844
-Iter 3000, Validation Loss= 3.707304, Accuracy Top1 = 0.2500, Top5 = 0.4688
-Iter 3050, Training Loss= 3.613132, Accuracy Top1 = 0.2031, Top5 = 0.5156
-Iter 3050, Validation Loss= 3.433999, Accuracy Top1 = 0.2344, Top5 = 0.5156
-Iter 3100, Training Loss= 3.225111, Accuracy Top1 = 0.2031, Top5 = 0.5000
-Iter 3100, Validation Loss= 3.220635, Accuracy Top1 = 0.1719, Top5 = 0.5156
-Iter 3150, Training Loss= 3.031438, Accuracy Top1 = 0.1406, Top5 = 0.5938
-Iter 3150, Validation Loss= 3.082735, Accuracy Top1 = 0.1875, Top5 = 0.4688
-Iter 3200, Training Loss= 3.810555, Accuracy Top1 = 0.1562, Top5 = 0.4688
-Iter 3200, Validation Loss= 3.437463, Accuracy Top1 = 0.2031, Top5 = 0.4844
-Iter 3250, Training Loss= 2.950843, Accuracy Top1 = 0.2656, Top5 = 0.5938
-Iter 3250, Validation Loss= 2.762245, Accuracy Top1 = 0.2969, Top5 = 0.6719
-Iter 3300, Training Loss= 3.027326, Accuracy Top1 = 0.2344, Top5 = 0.4844
-Iter 3300, Validation Loss= 3.221178, Accuracy Top1 = 0.2188, Top5 = 0.4844
-Iter 3350, Training Loss= 2.879477, Accuracy Top1 = 0.2656, Top5 = 0.6094
-Iter 3350, Validation Loss= 2.983860, Accuracy Top1 = 0.2500, Top5 = 0.5938
-Iter 3400, Training Loss= 2.967062, Accuracy Top1 = 0.3125, Top5 = 0.5781
-Iter 3400, Validation Loss= 2.536969, Accuracy Top1 = 0.2656, Top5 = 0.7031
-Iter 3450, Training Loss= 2.996886, Accuracy Top1 = 0.2344, Top5 = 0.5781
-Iter 3450, Validation Loss= 2.792925, Accuracy Top1 = 0.2656, Top5 = 0.6406
-Iter 3500, Training Loss= 3.207347, Accuracy Top1 = 0.2500, Top5 = 0.5000
-Iter 3500, Validation Loss= 3.006666, Accuracy Top1 = 0.2344, Top5 = 0.5000
-Iter 3550, Training Loss= 3.041111, Accuracy Top1 = 0.1875, Top5 = 0.5625
-Iter 3550, Validation Loss= 2.749897, Accuracy Top1 = 0.2344, Top5 = 0.5938
-Iter 3600, Training Loss= 3.308267, Accuracy Top1 = 0.2031, Top5 = 0.4531
-Iter 3600, Validation Loss= 3.032373, Accuracy Top1 = 0.2188, Top5 = 0.5469
-Iter 3650, Training Loss= 3.141254, Accuracy Top1 = 0.2656, Top5 = 0.4688
-Iter 3650, Validation Loss= 3.283142, Accuracy Top1 = 0.2188, Top5 = 0.5000
-Iter 3700, Training Loss= 3.216730, Accuracy Top1 = 0.2188, Top5 = 0.4688
-Iter 3700, Validation Loss= 3.402439, Accuracy Top1 = 0.2031, Top5 = 0.5312
-Iter 3750, Training Loss= 3.067439, Accuracy Top1 = 0.2344, Top5 = 0.5781
-Iter 3750, Validation Loss= 3.139163, Accuracy Top1 = 0.2656, Top5 = 0.6250
-Iter 3800, Training Loss= 3.210112, Accuracy Top1 = 0.1875, Top5 = 0.5938
-Iter 3800, Validation Loss= 3.070840, Accuracy Top1 = 0.2344, Top5 = 0.5312
-Iter 3850, Training Loss= 3.103137, Accuracy Top1 = 0.2812, Top5 = 0.5781
-Iter 3850, Validation Loss= 3.001561, Accuracy Top1 = 0.2031, Top5 = 0.5156
-Iter 3900, Training Loss= 3.007714, Accuracy Top1 = 0.1875, Top5 = 0.5312
-Iter 3900, Validation Loss= 3.159579, Accuracy Top1 = 0.2188, Top5 = 0.5312
-Iter 3950, Training Loss= 2.649383, Accuracy Top1 = 0.3438, Top5 = 0.6094
-Iter 3950, Validation Loss= 2.993809, Accuracy Top1 = 0.2344, Top5 = 0.5625
-Iter 4000, Training Loss= 2.997608, Accuracy Top1 = 0.2656, Top5 = 0.6250
-Iter 4000, Validation Loss= 2.825945, Accuracy Top1 = 0.2656, Top5 = 0.5781
-Iter 4050, Training Loss= 3.048593, Accuracy Top1 = 0.3281, Top5 = 0.5469
-Iter 4050, Validation Loss= 2.671826, Accuracy Top1 = 0.3438, Top5 = 0.6719
-Iter 4100, Training Loss= 3.012753, Accuracy Top1 = 0.2344, Top5 = 0.5938
-Iter 4100, Validation Loss= 2.867590, Accuracy Top1 = 0.2500, Top5 = 0.5938
-Iter 4150, Training Loss= 3.602373, Accuracy Top1 = 0.2656, Top5 = 0.5312
-Iter 4150, Validation Loss= 3.078044, Accuracy Top1 = 0.2500, Top5 = 0.5469
-Iter 4200, Training Loss= 3.150298, Accuracy Top1 = 0.1406, Top5 = 0.4375
-Iter 4200, Validation Loss= 3.631567, Accuracy Top1 = 0.2031, Top5 = 0.5000
-Iter 4250, Training Loss= 3.099754, Accuracy Top1 = 0.2500, Top5 = 0.4531
-Iter 4250, Validation Loss= 2.836734, Accuracy Top1 = 0.2969, Top5 = 0.5938
-Iter 4300, Training Loss= 3.052727, Accuracy Top1 = 0.2031, Top5 = 0.6406
-Iter 4300, Validation Loss= 3.246876, Accuracy Top1 = 0.2031, Top5 = 0.4844
-Iter 4350, Training Loss= 2.912819, Accuracy Top1 = 0.2812, Top5 = 0.5938
-Iter 4350, Validation Loss= 2.589036, Accuracy Top1 = 0.3281, Top5 = 0.6719
-Iter 4400, Training Loss= 3.060429, Accuracy Top1 = 0.2500, Top5 = 0.5000
-Iter 4400, Validation Loss= 2.908350, Accuracy Top1 = 0.2031, Top5 = 0.5781
-Iter 4450, Training Loss= 3.012262, Accuracy Top1 = 0.3125, Top5 = 0.6094
-Iter 4450, Validation Loss= 2.750590, Accuracy Top1 = 0.2812, Top5 = 0.5469
-Iter 4500, Training Loss= 2.972302, Accuracy Top1 = 0.3281, Top5 = 0.5469
-Iter 4500, Validation Loss= 2.771577, Accuracy Top1 = 0.2188, Top5 = 0.5625
-Iter 4550, Training Loss= 2.611824, Accuracy Top1 = 0.3125, Top5 = 0.6406
-Iter 4550, Validation Loss= 3.180518, Accuracy Top1 = 0.2812, Top5 = 0.5156
-Iter 4600, Training Loss= 3.017381, Accuracy Top1 = 0.1719, Top5 = 0.5625
-Iter 4600, Validation Loss= 2.581618, Accuracy Top1 = 0.2812, Top5 = 0.6719
-Iter 4650, Training Loss= 2.525561, Accuracy Top1 = 0.3594, Top5 = 0.6406
-Iter 4650, Validation Loss= 2.991633, Accuracy Top1 = 0.2812, Top5 = 0.6094
-Iter 4700, Training Loss= 2.811838, Accuracy Top1 = 0.3125, Top5 = 0.6250
-Iter 4700, Validation Loss= 3.162054, Accuracy Top1 = 0.1875, Top5 = 0.5156
-Iter 4750, Training Loss= 2.701034, Accuracy Top1 = 0.2969, Top5 = 0.6250
-Iter 4750, Validation Loss= 3.061454, Accuracy Top1 = 0.2188, Top5 = 0.5156
-Iter 4800, Training Loss= 2.927259, Accuracy Top1 = 0.2188, Top5 = 0.5781
-Iter 4800, Validation Loss= 3.242734, Accuracy Top1 = 0.2500, Top5 = 0.3906
-Iter 4850, Training Loss= 2.821012, Accuracy Top1 = 0.2812, Top5 = 0.5781
-Iter 4850, Validation Loss= 2.882276, Accuracy Top1 = 0.2969, Top5 = 0.5156
-Iter 4900, Training Loss= 2.959540, Accuracy Top1 = 0.2656, Top5 = 0.5781
-Iter 4900, Validation Loss= 2.601524, Accuracy Top1 = 0.3281, Top5 = 0.6406
-Iter 4950, Training Loss= 2.694813, Accuracy Top1 = 0.3281, Top5 = 0.6406
-Iter 4950, Validation Loss= 2.743835, Accuracy Top1 = 0.3125, Top5 = 0.5781
-Iter 5000, Training Loss= 2.980502, Accuracy Top1 = 0.2188, Top5 = 0.5625
-Iter 5000, Validation Loss= 2.865942, Accuracy Top1 = 0.2656, Top5 = 0.5156
-Iter 5050, Training Loss= 3.024354, Accuracy Top1 = 0.3125, Top5 = 0.5469
-Iter 5050, Validation Loss= 3.045088, Accuracy Top1 = 0.2031, Top5 = 0.4844
-Iter 5100, Training Loss= 2.713304, Accuracy Top1 = 0.3594, Top5 = 0.6562
-Iter 5100, Validation Loss= 2.747294, Accuracy Top1 = 0.3594, Top5 = 0.5469
-Iter 5150, Training Loss= 2.845907, Accuracy Top1 = 0.3125, Top5 = 0.5000
-Iter 5150, Validation Loss= 2.849870, Accuracy Top1 = 0.2344, Top5 = 0.5781
-Iter 5200, Training Loss= 2.952616, Accuracy Top1 = 0.2656, Top5 = 0.5625
-Iter 5200, Validation Loss= 3.058042, Accuracy Top1 = 0.2812, Top5 = 0.5312
-Iter 5250, Training Loss= 2.894796, Accuracy Top1 = 0.2812, Top5 = 0.5625
-Iter 5250, Validation Loss= 2.946543, Accuracy Top1 = 0.2031, Top5 = 0.5781
-Iter 5300, Training Loss= 2.881474, Accuracy Top1 = 0.2344, Top5 = 0.5469
-Iter 5300, Validation Loss= 2.798965, Accuracy Top1 = 0.2500, Top5 = 0.6406
-Iter 5350, Training Loss= 2.652120, Accuracy Top1 = 0.3281, Top5 = 0.6719
-Iter 5350, Validation Loss= 2.934310, Accuracy Top1 = 0.4062, Top5 = 0.5625
-Iter 5400, Training Loss= 2.582705, Accuracy Top1 = 0.3281, Top5 = 0.6562
-Iter 5400, Validation Loss= 2.815091, Accuracy Top1 = 0.2969, Top5 = 0.6406
-Iter 5450, Training Loss= 3.044381, Accuracy Top1 = 0.2188, Top5 = 0.5156
-Iter 5450, Validation Loss= 3.276194, Accuracy Top1 = 0.1250, Top5 = 0.4219
-Iter 5500, Training Loss= 2.630386, Accuracy Top1 = 0.3281, Top5 = 0.6719
-Iter 5500, Validation Loss= 2.983624, Accuracy Top1 = 0.1875, Top5 = 0.5469
-Iter 5550, Training Loss= 2.780213, Accuracy Top1 = 0.3125, Top5 = 0.5938
-Iter 5550, Validation Loss= 2.704516, Accuracy Top1 = 0.2812, Top5 = 0.5938
-Iter 5600, Training Loss= 2.974064, Accuracy Top1 = 0.2812, Top5 = 0.5781
-Iter 5600, Validation Loss= 2.875600, Accuracy Top1 = 0.2656, Top5 = 0.5469
-Iter 5650, Training Loss= 2.771416, Accuracy Top1 = 0.2500, Top5 = 0.6719
-Iter 5650, Validation Loss= 2.908123, Accuracy Top1 = 0.3750, Top5 = 0.6094
-Iter 5700, Training Loss= 2.522016, Accuracy Top1 = 0.3281, Top5 = 0.6406
-Iter 5700, Validation Loss= 2.297939, Accuracy Top1 = 0.4375, Top5 = 0.6875
-Iter 5750, Training Loss= 2.926905, Accuracy Top1 = 0.2031, Top5 = 0.5625
-Iter 5750, Validation Loss= 2.609168, Accuracy Top1 = 0.2812, Top5 = 0.6250
-Iter 5800, Training Loss= 3.169802, Accuracy Top1 = 0.1406, Top5 = 0.5469
-Iter 5800, Validation Loss= 2.833386, Accuracy Top1 = 0.2812, Top5 = 0.5625
-Iter 5850, Training Loss= 2.705330, Accuracy Top1 = 0.3438, Top5 = 0.6406
-Iter 5850, Validation Loss= 2.615624, Accuracy Top1 = 0.3281, Top5 = 0.6562
-Iter 5900, Training Loss= 2.822090, Accuracy Top1 = 0.2969, Top5 = 0.6562
-Iter 5900, Validation Loss= 2.798150, Accuracy Top1 = 0.3125, Top5 = 0.5938
-Iter 5950, Training Loss= 2.833002, Accuracy Top1 = 0.3125, Top5 = 0.6094
-Iter 5950, Validation Loss= 3.153902, Accuracy Top1 = 0.2969, Top5 = 0.5156
-Iter 6000, Training Loss= 2.892589, Accuracy Top1 = 0.2500, Top5 = 0.5625
-Iter 6000, Validation Loss= 3.124027, Accuracy Top1 = 0.3125, Top5 = 0.4688
-Iter 6050, Training Loss= 2.970047, Accuracy Top1 = 0.2500, Top5 = 0.5469
-Iter 6050, Validation Loss= 3.118874, Accuracy Top1 = 0.2656, Top5 = 0.6250
-Iter 6100, Training Loss= 2.565876, Accuracy Top1 = 0.3906, Top5 = 0.6250
-Iter 6100, Validation Loss= 2.965356, Accuracy Top1 = 0.2500, Top5 = 0.5000
-Iter 6150, Training Loss= 2.982562, Accuracy Top1 = 0.2500, Top5 = 0.5469
-Iter 6150, Validation Loss= 3.013434, Accuracy Top1 = 0.2656, Top5 = 0.5781
-Iter 6200, Training Loss= 2.761945, Accuracy Top1 = 0.3750, Top5 = 0.6250
-Iter 6200, Validation Loss= 2.555789, Accuracy Top1 = 0.3281, Top5 = 0.6250
-Iter 6250, Training Loss= 2.603009, Accuracy Top1 = 0.2812, Top5 = 0.6562
-Iter 6250, Validation Loss= 3.503898, Accuracy Top1 = 0.2500, Top5 = 0.5625
-Iter 6300, Training Loss= 2.920669, Accuracy Top1 = 0.2812, Top5 = 0.6250
-Iter 6300, Validation Loss= 3.148370, Accuracy Top1 = 0.3281, Top5 = 0.6406
-Iter 6350, Training Loss= 2.836130, Accuracy Top1 = 0.2188, Top5 = 0.5312
-Iter 6350, Validation Loss= 2.587818, Accuracy Top1 = 0.3281, Top5 = 0.6719
-Iter 6400, Training Loss= 2.473796, Accuracy Top1 = 0.3281, Top5 = 0.6875
-Iter 6400, Validation Loss= 2.553482, Accuracy Top1 = 0.3750, Top5 = 0.6875
-Iter 6450, Training Loss= 2.779900, Accuracy Top1 = 0.3281, Top5 = 0.5938
-Iter 6450, Validation Loss= 2.712602, Accuracy Top1 = 0.2969, Top5 = 0.6094
-Iter 6500, Training Loss= 4.409662, Accuracy Top1 = 0.1094, Top5 = 0.2344
-Iter 6500, Validation Loss= 3.606818, Accuracy Top1 = 0.2188, Top5 = 0.5156
-Iter 6550, Training Loss= 2.718493, Accuracy Top1 = 0.2812, Top5 = 0.5938
-Iter 6550, Validation Loss= 2.574901, Accuracy Top1 = 0.3906, Top5 = 0.6875
-Iter 6600, Training Loss= 2.560404, Accuracy Top1 = 0.4062, Top5 = 0.7031
-Iter 6600, Validation Loss= 2.776433, Accuracy Top1 = 0.2969, Top5 = 0.5938
-Iter 6650, Training Loss= 2.590899, Accuracy Top1 = 0.3906, Top5 = 0.6562
-Iter 6650, Validation Loss= 3.026929, Accuracy Top1 = 0.1875, Top5 = 0.5469
-Iter 6700, Training Loss= 2.571698, Accuracy Top1 = 0.3750, Top5 = 0.6719
-Iter 6700, Validation Loss= 2.800902, Accuracy Top1 = 0.3438, Top5 = 0.6250
-Iter 6750, Training Loss= 2.314200, Accuracy Top1 = 0.4062, Top5 = 0.6719
-Iter 6750, Validation Loss= 2.710191, Accuracy Top1 = 0.2969, Top5 = 0.6719
-Iter 6800, Training Loss= 2.949441, Accuracy Top1 = 0.2656, Top5 = 0.5312
-Iter 6800, Validation Loss= 2.366369, Accuracy Top1 = 0.4062, Top5 = 0.6719
-Iter 6850, Training Loss= 2.440866, Accuracy Top1 = 0.4062, Top5 = 0.6875
-Iter 6850, Validation Loss= 2.464575, Accuracy Top1 = 0.3125, Top5 = 0.6094
-Iter 6900, Training Loss= 2.242168, Accuracy Top1 = 0.3594, Top5 = 0.8125
-Iter 6900, Validation Loss= 2.584628, Accuracy Top1 = 0.3906, Top5 = 0.6875
-Iter 6950, Training Loss= 2.507778, Accuracy Top1 = 0.4062, Top5 = 0.7188
-Iter 6950, Validation Loss= 2.690736, Accuracy Top1 = 0.2812, Top5 = 0.6094
-Iter 7000, Training Loss= 2.620534, Accuracy Top1 = 0.3438, Top5 = 0.5781
-Iter 7000, Validation Loss= 2.428560, Accuracy Top1 = 0.3594, Top5 = 0.7031
-Iter 7050, Training Loss= 2.485566, Accuracy Top1 = 0.3281, Top5 = 0.6406
-Iter 7050, Validation Loss= 2.856001, Accuracy Top1 = 0.2500, Top5 = 0.6094
-Iter 7100, Training Loss= 2.596852, Accuracy Top1 = 0.3906, Top5 = 0.6562
-Iter 7100, Validation Loss= 2.591424, Accuracy Top1 = 0.3906, Top5 = 0.6094
-Iter 7150, Training Loss= 2.591151, Accuracy Top1 = 0.2969, Top5 = 0.6562
-Iter 7150, Validation Loss= 2.275580, Accuracy Top1 = 0.4062, Top5 = 0.7812
-Iter 7200, Training Loss= 3.703109, Accuracy Top1 = 0.1875, Top5 = 0.3906
-Iter 7200, Validation Loss= 3.203714, Accuracy Top1 = 0.2031, Top5 = 0.4688
-Iter 7250, Training Loss= 2.578839, Accuracy Top1 = 0.3281, Top5 = 0.6562
-Iter 7250, Validation Loss= 2.640120, Accuracy Top1 = 0.3594, Top5 = 0.6250
-Iter 7300, Training Loss= 2.783117, Accuracy Top1 = 0.2812, Top5 = 0.6094
